用語,AI キーワード,ヨミカタ,作成日時,最終更新日時,最終更新者,略語・別称,説明
電力CIS,"ガス・電気, システム, 業界用語, 電力業務プロセス, 顧客情報管理",デンリョクシーアイエス,2023年3月20日 18:13,2025年2月6日 9:20,宗像大貴 / Hiroki Munekata,CIS、CC&B,"電力のCIS（Customer Information System）。
   
  2016年4月からの低圧（家庭用・中小業務用）電力小売全面自由化に伴う、東京ガスのお客さまに電気をご利用頂くために、異動・契約管理・料金計算・督促・問合せ対応などに関連する業務を実施するシステム。受付はTHANKS、2019年5月のCIRIUS1期稼働に伴い、請求（入金含む）はCIRIUSを利用。"
2x,"システム, 契約用語, 業界用語",ニペケ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,支払契約番号をさす。
はがき検針票,"ガス・電気, サービス, 新型検針票",ハガキケンシンヒョウ,2023年3月20日 18:13,2023年11月20日 17:21,和田理恵,　,はがきで検針票を希望する方、はこ検針票であると都合が悪いお客さま向けのはがきタイプの検針票
はこ検針票,"ガス・電気, メーター管理, 顧客訪問",ハコケンシンヒョウ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,検針員が毎月お客さま宅に訪問しハンドヘルドコンピュータから出力する検針票のこと。出力後、ポスト投函する。
バッチ,"サービス, システム, 自動処理",バッチ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,あらかじめ登録した一連の処理を自動的に実行する処理方式のこと。
ValueFront,"サービス, システム, 新しいサービス",バリューフロント,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,ポイント口座の管理等を行える富士通のSaaS。
ヒーツ,"エネルギー管理, ガス・電気, サービス",ヒーツ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,"建物全体で１つの熱源機を共有し、その熱源機でお湯を作って各戸に送り給湯・冷暖房等を行うシステム。その熱源機がお客さま資産の場合がヒーツとなる。各住戸とTGの契約はない（建物管理者・オーナー事業）ので、各戸にお客さま番号はついておらず、画面照会もできない。ただし､一部、管理会社からの委託により、東京ガスが検針・料金計算・収納業務を行っている物件があり、この場合は、5X
  のお客さま番号がついている。また建物により、ガスコンロなどが設置されている場合には、お湯や冷暖房等の専用メーターとは別に一般のガスメーターも設置されている。(1Xが存在する)"
BPR,"システム, プロセス最適化, 新しい業務設計, 業界用語, 組織改革",ビーピーアール,2023年3月20日 18:13,2023年11月20日 17:22,和田理恵,　,ビジネスプロセス・リエンジニアリング。業務本来の目的に向かって既存の組織や制度を抜本的に見直し、プロセスの視点で、職務、業務フロー、管理機構、情報システムをデザインしなおすこと。
Figma,"UIデザイン, サービス, システム",フィグマ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,画面UIを作成するツール
付随帳票,"サービス, 料金関連書類, 社内用語",フズイチョウヒョウ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,はこ検針票に組み込まれている、口座振替済み領収証および払込書のこと。
不払い閉栓,"ガス・電気, サービス, 料金管理, 業務運営, 業界用語, 顧客サービス",フバライヘイセン,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,ガス使用料金の未払い等の理由により、ガス供給をとめるために行う閉栓のこと。
FraudAlert,"ICTセキュリティ, サービス, システム",フロードアラート,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,ICTサービスの情報セキュリティを専門とする株式会社Caulis（カウリス）が提供する不正ログイン検知サービス。mTG会員ログイン時、認証成功・失敗通知、アクセス制限等を行う。
プロキシサーバー,"ガス・電気, システム, ネットワークセキュリティ",プロキシサーバー,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,インターネットへのアクセスを代理で行うサーバーのこと
閉栓,"ガス・電気, ガス管理, サービス",ヘイセン,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,ガス栓を閉じること。ガス栓を閉じることで、ガス使用終了となり、料金の精算を行う。
ペルソナ,"サービス, ターゲットマーケティング, ユーザーエクスペリエンス",ペルソナ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,サービス・商品の典型的なユーザー像のこと
本会員,"サービス, システム, ユーザー登録, 会員管理, 運用ガイド",ホンカイイン,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,"「運用上」は、mTGの会員規約に同意し、お客さま番号が紐づけられており、メールアドレス・パスワード・秘密の質問・生年月日・電話番号の登録が済んだお客さまのこと。全てのサービスが受けられる。
    ただし、「システム」「管理画面上」「運用上」で定義が異なるため、詳細は”会員”シート参照。"
myTOKYOGAS,"サービス, システム, 業界用語",マイトウキョウガス,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,"mTG, myTG",東京ガスのガス・電気をご利用のお客さま（家庭用）向けのウェブ会員サービスサイト
myTOKYOGASBiz,"ガス・電気, サービス, 新サービス",マイトウキョウガスビズ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,"mTGBiz, myTGBiz",東京ガスのガス・電気をご利用のお客さま向け（法人）のウェブ会員サービスサイト
まとめ請求,"サービス, システム, 新しい請求方式",マトメセイキュウ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,一括請求とオーナー個別の総称。
見える化(mTG),"エネルギー管理, ガス・電気, サービス, データ分析, 新エネルギー",ミエルカ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,mTGの機能の1つであり、会員の電気使用量の情報を取得・表示する。電気使用量の使いすぎアラート機能や、省エネアドバイス機能がある。
未会員,"ユーザー登録, 新しいサービス, 顧客管理",ミカイイン,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,仮会員,"「運用上」は、CS向上（ログイン簡易化・ポイント付与）のために、料金連動ポイント付与対象（ずっとも電気・ずっともガス）のお客さまのうち、mTG会員になっていない方に対し、自動で初期ID／パスワードを発行し、初回ログインが済んでいないお客さまを指す。2019年10月1日以降に契約申し込みをされた方が対象。自動発行実施前までは、お客さまが会員登録手続をしないとポイントが貯まらない仕組みになっていた。契約開始から約2か月経過した頃（初回ポイント付与時）に、初期ID／パスワードを記載したハガキを発行。2020年11月2日開始のネット環境無しポイント交換対象もこれに該当。
    ただし、「システム」「管理画面上」「運用上」で定義が異なるため、詳細は”会員”シート参照。"
約款,"システム, 取引基準, 契約法, 文書管理, 業界用語",ヤッカン,2023年3月20日 18:13,2023年11月20日 17:22,和田理恵,　,普通契約約款。銀行取引，運送・保険契約など画一的・集団的な契約において、契約の迅速・安全を期する目的で、あらかじめ定型的に定められた契約条項をいう。商品売買の契約内容を明確にするための説明書類がこれに該当する。
4大マスタ,"オペレーショナルサービス, システム, データベース構造, 契約用語, 業界用語",ヨンダイマスタ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,4大マスター,"CIS及びCIRIUSにおける主要テーブル4つの事。
    各主要テーブルのキー項目にならって、1x 2x 3x 4xと呼称する事がある。
    ◆CIS
    　1x：ガスメーター設置場所　GMTSET
    　2x：支払契約　SIHARI
    　3x：お客さま　CUSTMR
    　4x：ガス使用契約　GASSYO
    ◆CIRIUS
    　1x：メーター設置場所＜小売＞　MTSETK＋ガスメーター設置場所＜小売＞　GMTSETK
    　　　　ガスメーター設置場所＜導管＞　GMTSETD
    　2x：支払契約　SIHAKY
    　3x：契約お客さま＜小売＞　KIYCSTK
    　　　　契約お客さま＜導管＞　KIYCSTD
    　4x：サービス契約　SVCKYA
    　　　　託送サービス契約　TKSSVKY"
4x,"ガス・電気, システム, 業界用語, 社員識別番号, 顧客識別番号",ヨンペケ,2023年3月20日 18:13,2023年11月20日 17:22,和田理恵,　,"①契約（ガス、他システム）に関する番号。お客さま番号の中で、「4」からはじまる番号を意味する。
②TGI社員番号（協力会社用）を指す。"
LIVALIT,"ガス・電気, システム, 業務支援",ライバリット,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,"ライフバル業務支援システム
    お客さま接点業務である「販売」「開閉栓」「機器メンテ」「定保」の主に4つの業務分野を扱う。
    
   
  LIVALIT構築前は、別々にシステムが作られ情報管理されていたが、それらの情報を一元管理し、業務間で横連携・共有できるようにし、お客さま対応を向上させることを目的に作られた。
    
    お客さまの所有する機器情報などを管理している。"
6x,,ロクペケ,2023年3月20日 18:13,2025年6月4日 17:34,Ayaka Nakamichi,　,TGINETが利用しているDuke IDをさす
honoh,"mTG/myTOKYOGAS, サービス, 新規プロジェクト",ホノオ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,Web再構築PJ,"2021年04月～2021年09月にmyTOKYOGASのデザインリニューアルを行った案件・体制を指す。
    BCG/BCGDV・TG・INETが参画し、myTOKYOGASのデザインを刷新した。"
デザインシステム,"コンポーネント管理, サービス, システム, デザイン原則, ユーザー体験",デザインシステム,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,"honoh対応の中で家庭用HPの領域に対して、デザインシステムを定めた。
    カラーやボタンの定義などWebページを構成するパーツのデザインを定めている。
    デザインシステムとは、ソフトウェアやグラフィックなどにおけるデザインの原則や指針と、それらを実現するための仕組みの集合体。"
ガス伝票ID,"ガス料金計算, ポイント制度, 顧客識別番号",ガスデンピョウアイディ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,"mTG内で、ガス料金連動ポイント計算時に使用する項目。
   
  ポイント計算の諸元データとして、CIRIUSから連携されるガス料金連動ポイント算定データファイルの以下３項目を連結した文字列のことを指す。(mTG内で生成）
    　- 使用契約番号
    　- 検針年月日
    　- 検針結果通し番号"
Site24x7,"エネルギーサービス, ガス・電気, サービス",サイトトゥエンティーフォーバイセブン,2023年3月20日 18:13,2026年3月29日 10:47,Yohei Sugisaki,Site24,"myTOKYOGASで導入されているSaaS型監視ツール
    ユーザー視点でダウンや遅延を把握することが可能
    例えば、mTGのTOPを表示するまで何秒かかっているのかを何分かに一回試して確認している"
検針票電子化PJ,"ガス・電気, システム, デジタル化, プロジェクト管理, 業界用語",ケンシンヒョウデンシカプロジェクト,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,検電、ケンペイ,"プロジェクト名称。
    略称としては、検電が一般的。
    検針票ペーパーレス化の略である、「ケンペイ」はバックログの名称としてのみ用いられている。"
MailPublisher,"サービス, システム, 新しいシステム",メールパブリッシャー,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,メルパブ,エンバーポイント社が提供するメール配信システム。myTOKYOGASのメールもこちらの仕組みを利用して配信されている。
QR依頼,"データ管理, 新規データ抽出",キューアールイライ,2023年3月20日 18:13,2023年3月20日 18:15,Yuki Senuma,　,"iNETに維持管理を委託しているシステムのデータに対し、臨時でデータ抽出の依頼をすること。ＱＲ依頼はデータの抽出のみを対象としております。帳票のデザインや、エクセルなどで行うことのできる集計・加工作業については承っておりません。
   
  詳細はほっとわーく参照 http://gg-intra.tg-group.tokyo-gas.co.jp/~jotsu/sysan/itaku/qr_price_chg.htm"
